Distance,Time,yyyy-mm-dd_HH-MM-SS
58961.5966,1.431113,2024-07-10_19-46-03
58967.1364,2.43057,2024-07-10_19-46-04
59009.3934,3.462877,2024-07-10_19-46-05
58989.0481,4.472355,2024-07-10_19-46-06
58993.2425,5.494874,2024-07-10_19-46-08
58978.214,6.496194,2024-07-10_19-46-09
58970.8202,7.525556,2024-07-10_19-46-10
58983.3048,8.52719,2024-07-10_19-46-11
58974.9136,9.54037,2024-07-10_19-46-12
58987.375,10.56323,2024-07-10_19-46-13
58966.9796,11.57826,2024-07-10_19-46-14
58980.7683,12.58036,2024-07-10_19-46-15
58976.7236,13.62062,2024-07-10_19-46-16
58975.6784,14.61269,2024-07-10_19-46-17
58960.4793,15.6441,2024-07-10_19-46-18
58942.8271,16.64202,2024-07-10_19-46-19
58934.0514,17.66194,2024-07-10_19-46-20
58943.8027,18.70041,2024-07-10_19-46-21
58906.0921,19.69002,2024-07-10_19-46-22
58967.8673,20.71978,2024-07-10_19-46-23
58933.4095,21.73044,2024-07-10_19-46-24
58962.6137,22.75657,2024-07-10_19-46-25
58948.5381,23.75558,2024-07-10_19-46-26
58949.8027,24.77591,2024-07-10_19-46-27
58951.2546,25.79911,2024-07-10_19-46-28
58930.4001,26.80936,2024-07-10_19-46-29
58869.4284,27.83111,2024-07-10_19-46-30
58923.0138,28.85858,2024-07-10_19-46-31
58911.9456,29.85675,2024-07-10_19-46-32
58933.7643,30.87448,2024-07-10_19-46-33
58915.4546,31.8831,2024-07-10_19-46-34
58776.5811,32.92312,2024-07-10_19-46-35
58934.4454,33.91661,2024-07-10_19-46-36
58915.1663,34.94213,2024-07-10_19-46-37
58978.0017,35.93924,2024-07-10_19-46-38
58963.5583,36.96903,2024-07-10_19-46-39
58956.5243,37.98084,2024-07-10_19-46-40
58948.0466,38.99451,2024-07-10_19-46-41
58970.9186,40.0063,2024-07-10_19-46-42
58913.2068,41.03066,2024-07-10_19-46-43
58925.4357,42.04204,2024-07-10_19-46-44
58941.3507,43.05202,2024-07-10_19-46-45
58935.0862,44.07841,2024-07-10_19-46-46
58906.485,45.10621,2024-07-10_19-46-47
58946.9547,46.10917,2024-07-10_19-46-48
58894.2234,47.13735,2024-07-10_19-46-49
58916.8998,48.14172,2024-07-10_19-46-50
58907.9791,49.16386,2024-07-10_19-46-51
58949.5626,50.16962,2024-07-10_19-46-52
58907.6587,51.1851,2024-07-10_19-46-53
58951.1493,52.19025,2024-07-10_19-46-54
58679.4535,53.21969,2024-07-10_19-46-55
58931.6165,54.23123,2024-07-10_19-46-56
58914.9365,55.25955,2024-07-10_19-46-57
58931.2459,56.25276,2024-07-10_19-46-58
58932.6824,57.26848,2024-07-10_19-46-59
58948.9254,58.30792,2024-07-10_19-47-00
