Distance,Time,,,,Time,
4.87486,1.2532841,,,,0.766735633,
16.4225,2.0208575,0.7675734,,,,
-16.7126,2.7764269,0.7555694,,,,
12.1796,3.5672586,0.7908317,,,,
1.15617,4.3233422,0.7560836,,,,
-4.16025,5.0700809,0.7467387,,,,
9.01549,5.8446827,0.7746018,,,,
-9.56638,6.6143415,0.7696588,,,,
6.41384,7.3656183,0.7512768,,,,
-1.68085,8.1364113,0.770793,,,,
-38.9993,8.9044634,0.7680521,,,,
12.2191,9.6794906,0.7750272,,,Distance,
0.962478,10.436813,0.7573224,,,,
-4.01543,11.211175,0.774362,,,Population,Sample
-8.31428,11.96941,0.758235,,Var,185.2385311,185.3644581
9.09798,12.739272,0.769862,,Std Dev,13.61023626,13.61486166
-3.35139,13.502716,0.763444,,,,
-12.4734,14.267362,0.764646,,Mean,27.53315461,-25.80595461
10.4959,15.040293,0.772931,,,,
10.5944,15.797383,0.75709,,Median,27.8286,
-14.0814,16.569692,0.772309,,Mode,21.9654,
24.1464,17.327466,0.757774,,,,
-1.58377,18.109555,0.782089,,Min,-38.9993,
14.3809,18.865015,0.75546,,Max,63.7254,
19.1155,19.634893,0.769878,,,,
5.30051,20.396117,0.761224,,,,
13.3064,21.166129,0.770012,,,,
3.3671,21.936869,0.77074,,,,
13.4269,22.704887,0.768018,,,,
6.504,23.468204,0.763317,,,,
-1.66263,24.227662,0.759458,,,,
-4.3565,24.996284,0.768622,,,,
23.3849,25.768007,0.771723,,,,
6.40233,26.536768,0.768761,,,,
7.5887,27.296931,0.760163,,,,
6.2282,28.066529,0.769598,,,,
11.175,28.824288,0.757759,,,,
-0.408671,29.599172,0.774884,,,,
22.393,30.356049,0.756877,,,,
1.65397,31.126067,0.770018,,,,
21.9646,31.897992,0.771925,,,,
3.35845,32.666271,0.768279,,,,
1.89044,33.431535,0.765264,,,,
2.28116,34.20334,0.771805,,,,
2.91073,34.970078,0.766738,,,,
17.4971,35.732099,0.762021,,,,
23.2505,36.507205,0.775106,,,,
13.184,37.270706,0.763501,,,,
13.8465,38.034552,0.763846,,,,
16.3371,38.801414,0.766862,,,,
18.694,39.567509,0.766095,,,,
25.5854,40.333992,0.766483,,,,
12.7555,41.103415,0.769423,,,,
6.7596,41.871407,0.767992,,,,
20.2624,42.626523,0.755116,,,,
11.8646,43.406179,0.779656,,,,
26.6727,44.16259,0.756411,,,,
22.3802,44.928067,0.765477,,,,
16.9414,45.693125,0.765058,,,,
11.6184,46.459549,0.766424,,,,
15.6535,47.231131,0.771582,,,,
22.3264,47.99819,0.767059,,,,
6.99578,48.759551,0.761361,,,,
5.51658,49.533823,0.774272,,,,
21.8489,50.306626,0.772803,,,,
20.6569,51.06929,0.762664,,,,
7.6823,51.838359,0.769069,,,,
23.4477,52.591671,0.753312,,,,
-1.59105,53.36016,0.768489,,,,
13.9634,54.132215,0.772055,,,,
18.1421,54.902066,0.769851,,,,
6.36986,55.671075,0.769009,,,,
13.2575,56.428005,0.75693,,,,
0.526458,57.198116,0.770111,,,,
7.73564,57.964642,0.766526,,,,
12.0052,58.735389,0.770747,,,,
9.65513,59.493357,0.757968,,,,
-10.8469,60.269214,0.775857,,,,
29.2529,61.025871,0.756657,,,,
14.5292,61.796368,0.770497,,,,
-0.832723,62.570429,0.774061,,,,
1.94001,63.327605,0.757176,,,,
-2.10422,64.099386,0.771781,,,,
24.7556,64.867449,0.768063,,,,
-18.6395,65.636116,0.768667,,,,
5.00867,66.389319,0.753203,,,,
18.9946,67.164965,0.775646,,,,
-15.198,67.925771,0.760806,,,,
20.052,68.700953,0.775182,,,,
6.55342,69.45877,0.757817,,,,
28.4162,70.228211,0.769441,,,,
10.7077,70.997337,0.769126,,,,
7.385,71.766198,0.768861,,,,
26.0807,72.52558,0.759382,,,,
8.16962,73.299825,0.774245,,,,
34.3522,74.068338,0.768513,,,,
11.8316,74.83243,0.764092,,,,
10.451,75.588477,0.756047,,,,
10.6455,76.354282,0.765805,,,,
25.8974,77.122101,0.767819,,,,
15.632,77.887032,0.764931,,,,
18.4979,78.656139,0.769107,,,,
28.3821,79.428457,0.772318,,,,
12.8308,80.186744,0.758287,,,,
18.5368,80.956039,0.769295,,,,
7.06828,81.730642,0.774603,,,,
16.2321,82.488966,0.758324,,,,
25.5657,83.25887,0.769904,,,,
14.7379,84.032188,0.773318,,,,
18.191,84.800746,0.768558,,,,
-5.84783,85.555072,0.754326,,,,
12.6071,86.326454,0.771382,,,,
15.2721,87.095903,0.769449,,,,
24.9843,87.850135,0.754232,,,,
25.538,88.623257,0.773122,,,,
13.6729,89.392942,0.769685,,,,
14.9876,90.162661,0.769719,,,,
25.2501,90.919515,0.756854,,,,
11.6326,91.691574,0.772059,,,,
6.08811,92.461923,0.770349,,,,
-11.114,93.216626,0.754703,,,,
11.4244,93.992215,0.775589,,,,
23.5868,94.761372,0.769157,,,,
9.10211,95.518664,0.757292,,,,
6.75355,96.290551,0.771887,,,,
3.46538,97.051864,0.761313,,,,
22.7869,97.819581,0.767717,,,,
2.51535,98.594775,0.775194,,,,
17.5426,99.35316,0.758385,,,,
20.5668,100.12152,0.76836,,,,
17.7693,100.89017,0.76865,,,,
-4.11545,101.65302,0.76285,,,,
12.565,102.42658,0.77356,,,,
27.6534,103.18012,0.75354,,,,
20.8003,103.95075,0.77063,,,,
17.394,104.72654,0.77579,,,,
23.0829,105.48231,0.75577,,,,
11.9676,106.25946,0.77715,,,,
25.0993,107.02142,0.76196,,,,
13.6667,107.79467,0.77325,,,,
28.7264,108.55092,0.75625,,,,
29.2398,109.32007,0.76915,,,,
21.9654,110.09564,0.77557,,,,
38.4329,110.8547,0.75906,,,,
23.6149,111.62522,0.77052,,,,
13.0427,112.38655,0.76133,,,,
23.7711,113.16192,0.77537,,,,
21.2411,113.91977,0.75785,,,,
16.8587,114.69539,0.77562,,,,
33.5549,115.4541,0.75871,,,,
17.1656,116.22376,0.76966,,,,
21.5114,116.99504,0.77128,,,,
17.8349,117.7572,0.76216,,,,
25.8631,118.52156,0.76436,,,,
36.2111,119.2959,0.77434,,,,
25.7632,120.05337,0.75747,,,,
23.2402,120.82988,0.77651,,,,
22.5806,121.60541,0.77553,,,,
11.3872,122.3514,0.74599,,,,
30.3227,123.11793,0.76653,,,,
21.0839,123.9012,0.78327,,,,
19.7049,124.66412,0.76292,,,,
15.7032,125.43035,0.76623,,,,
30.3176,126.19091,0.76056,,,,
32.8103,126.95572,0.76481,,,,
24.3999,127.72205,0.76633,,,,
17.83,128.4957,0.77365,,,,
19.1379,129.2599,0.7642,,,,
31.9975,130.0183,0.7584,,,,
19.5999,130.78357,0.76527,,,,
9.90951,131.56479,0.78122,,,,
12.3122,132.31964,0.75485,,,,
21.3508,133.10087,0.78123,,,,
20.5632,133.84816,0.74729,,,,
15.2864,134.61762,0.76946,,,,
18.1786,135.39256,0.77494,,,,
18.1063,136.16031,0.76775,,,,
16.1719,136.92614,0.76583,,,,
18.0921,137.68295,0.75681,,,,
17.6527,138.45037,0.76742,,,,
32.6863,139.22998,0.77961,,,,
14.1064,139.99529,0.76531,,,,
12.3877,140.76151,0.76622,,,,
13.1795,141.51802,0.75651,,,,
23.8763,142.28712,0.7691,,,,
16.0711,143.05772,0.7706,,,,
10.8228,143.82621,0.76849,,,,
4.17358,144.58264,0.75643,,,,
5.04013,145.35037,0.76773,,,,
-4.84902,146.12296,0.77259,,,,
-20.9524,146.87975,0.75679,,,,
16.9371,147.64401,0.76426,,,,
16.7408,148.41341,0.7694,,,,
26.7221,149.19213,0.77872,,,,
5.49299,149.94623,0.7541,,,,
35.6439,150.71471,0.76848,,,,
-3.28757,151.48752,0.77281,,,,
17.2521,152.25428,0.76676,,,,
36.1196,153.01698,0.7627,,,,
37.9892,153.78467,0.76769,,,,
21.9004,154.55179,0.76712,,,,
16.4168,155.31728,0.76549,,,,
37.2181,156.07639,0.75911,,,,
27.2168,156.84529,0.7689,,,,
12.7606,157.61403,0.76874,,,,
38.0309,158.38332,0.76929,,,,
40.2541,159.14984,0.76652,,,,
26.5304,159.91332,0.76348,,,,
21.811,160.68531,0.77199,,,,
36.5241,161.45648,0.77117,,,,
31.8481,162.22287,0.76639,,,,
27.9699,162.98524,0.76237,,,,
12.5705,163.74178,0.75654,,,,
21.4197,164.50851,0.76673,,,,
36.3572,165.27804,0.76953,,,,
19.8901,166.05422,0.77618,,,,
10.3717,166.81336,0.75914,,,,
39.226,167.57729,0.76393,,,,
41.8433,168.35033,0.77304,,,,
19.6362,169.11923,0.7689,,,,
35.8617,169.87669,0.75746,,,,
37.9927,170.6481,0.77141,,,,
33.6201,171.40934,0.76124,,,,
49.0168,172.17906,0.76972,,,,
36.2812,172.9394,0.76034,,,,
45.9461,173.70973,0.77033,,,,
41.0671,174.4809,0.77117,,,,
50.3498,175.23781,0.75691,,,,
35.2118,176.01301,0.7752,,,,
13.5602,176.78121,0.7682,,,,
38.587,177.54073,0.75952,,,,
24.3423,178.31225,0.77152,,,,
22.6292,179.07495,0.7627,,,,
39.2191,179.84372,0.76877,,,,
20.0914,180.61546,0.77174,,,,
21.754,181.37533,0.75987,,,,
-14.6261,182.14716,0.77183,,,,
30.6583,182.91921,0.77205,,,,
13.8011,183.67488,0.75567,,,,
39.2916,184.44252,0.76764,,,,
39.7832,185.21556,0.77304,,,,
23.1263,185.98643,0.77087,,,,
21.7119,186.74368,0.75725,,,,
29.3884,187.51127,0.76759,,,,
9.06861,188.27541,0.76414,,,,
30.0327,189.04006,0.76465,,,,
28.6482,189.8221,0.78204,,,,
33.9944,190.57846,0.75636,,,,
36.5687,191.34585,0.76739,,,,
30.8697,192.11108,0.76523,,,,
28.1186,192.88454,0.77346,,,,
28.466,193.66117,0.77663,,,,
35.495,194.40881,0.74764,,,,
33.5872,195.17744,0.76863,,,,
16.0585,195.95054,0.7731,,,,
25.5881,196.71493,0.76439,,,,
12.6215,197.48167,0.76674,,,,
33.5351,198.25514,0.77347,,,,
31.0468,199.0145,0.75936,,,,
34.7625,199.78781,0.77331,,,,
35.6726,200.54436,0.75655,,,,
32.5924,201.31578,0.77142,,,,
25.8791,202.08517,0.76939,,,,
13.7733,202.85673,0.77156,,,,
37.4826,203.61431,0.75758,,,,
31.6969,204.38618,0.77187,,,,
35.7354,205.15695,0.77077,,,,
49.9912,205.92875,0.7718,,,,
19.1733,206.68645,0.7577,,,,
